ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
64,1,0,0,-1.052369541,1.90928342,1.877683503,-0.255656418,-1.013032519,-2.27304051,-2.162927441,-0.734344105,-0.519311797,3,1.319105955,1.048941471,0.47737619,0.158086599
64,2,1,0,-1.052369541,2.144405814,1.83936782,0.144077558,-0.559930702,-2.229342537,-2.082586608,-0.428664607,-0.848222504,3,1.386287004,1.048941471,0.47737619,0.158086599
65,1,0,0,-0.346325249,0.380810713,0.268928037,0.543811534,-0.559930702,-0.104959864,-0.273540695,-0.544896024,-0.592032197,3,1.596890075,0.413400232,-0.175768561,-0.496528603
65,2,0,0,0.359719043,0.676772083,0.233519322,0.94354551,-0.106828884,-0.007909142,-0.132202832,-0.37090683,-0.595934513,3,1.602796227,0.413400232,-0.175768561,-0.496528603
66,1,0,0,0.359719043,-0.402849234,-0.199274055,-1.05512437,-1.013032519,-0.657221471,-1.183167629,-1.202318222,-1.056633347,3,1.284919081,2.232358056,0.693144345,0.632584838
67,1,1,0,1.065763335,-1.361503797,1.008545962,-0.655390394,1.705578387,-0.986282161,0.472670231,-0.767856734,0.601367095,2,-1.248350073,1.881716936,0.187248878,0.607985417
68,1,0,0,-1.052369541,-0.715509639,0.066132263,-1.05512437,-1.013032519,-0.648516417,-0.022343834,-0.476545487,0.822509995,3,-0.80951722,0.843482605,0.349080966,0.185859346
68,2,0,0,-1.052369541,-0.592727626,0.327924786,-0.655390394,-0.559930702,-0.684807527,0.142696039,-0.325173824,0.88275933,3,-0.842591673,0.843482605,0.349080966,0.185859346
68,3,1,0,-0.346325249,-0.900182878,0.329521199,-0.255656418,-0.106828884,-0.770111145,0.427239962,-0.362399897,1.154485033,3,-0.904623475,0.843482605,0.349080966,0.185859346
69,1,0,0,2.47785192,-0.663699055,-0.653941985,-0.655390394,-0.559930702,0.424179083,0.134048535,0.625257249,-0.018516401,3,0.459674778,-0.041333613,-2.88168467,-1.910995332
70,1,0,0,-0.346325249,-0.96229143,1.517935892,-1.05512437,-1.013032519,-0.327028596,0.136763577,0.761386274,-0.305315417,2,-1.350314345,-0.041333613,0.582346095,-0.308343029
70,2,0,0,0.359719043,-0.925205586,1.089885176,-0.655390394,-0.559930702,-0.589442005,0.187373532,0.83062084,-0.167259761,2,-1.346873868,-0.041333613,0.582346095,-0.308343029
70,3,0,0,0.359719043,-0.919996574,1.379332301,-0.255656418,-0.106828884,-0.703496136,0.192856789,1.062919517,0.025080732,2,-1.355257164,-0.041333613,0.582346095,-0.308343029
70,4,1,0,1.771807628,-1.061232957,1.518615827,0.144077558,0.346272934,-0.10580345,0.099141232,1.895609461,0.113809538,2,-1.350658393,-0.041333613,0.582346095,-0.308343029
71,1,0,0,-0.346325249,-0.013878771,-0.590436266,-0.655390394,-0.559930702,0.301157344,0.626701635,0.598622198,-0.064714559,3,0.09075242,0.939361913,0.314087016,-0.052509047
71,2,0,0,1.065763335,-0.013878771,-0.585443625,-0.255656418,-0.106828884,0.301157344,0.626701635,0.959921607,0.110440939,3,0.09075242,0.939361913,0.314087016,-0.052509047
72,1,0,0,1.771807628,1.241748324,-0.450310795,2.142747438,-0.559930702,-1.456238094,-0.17295184,3.093015715,1.512897499,2,-0.737909423,0.90101019,-0.362383053,-0.613375854
73,1,0,0,-1.052369541,1.108671477,-1.033550628,-1.05512437,-1.013032519,-0.596813656,-0.108900403,0.316417194,-0.364494701,3,0.536122179,0.298345063,0.191620136,1.932664258
